epoch,loss,sat_train_overall,sat_train_trans,sat_train_irreflex,sat_train_asymmetry,sat_train_closure,sat_train_pos,sat_train_neg,sat_test_overall,sat_test_trans,sat_test_irreflex,sat_test_asymmetry,sat_test_closure,sat_test_pos,sat_test_neg,n_pos,n_neg,n_test_pos,n_test_neg,scenario,katz_mode,predicate,embed_type,hierarchy_source,bundle_tag,vector_dim,model_path
0,0.5102920532226562,0.48970794677734375,0.8849331140518188,0.5378709435462952,0.7863476276397705,0.5823948979377747,0.4621351957321167,0.5376532077789307,0.46339595317840576,0.8849331140518188,0.5378709435462952,0.7863476276397705,0.5823948979377747,0.46339595317840576,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
1,0.5092748999595642,0.4907251000404358,0.8841660022735596,0.5351511240005493,0.7838268876075745,0.5814168453216553,0.4649959206581116,0.535050630569458,0.46599262952804565,0.8841660022735596,0.5351511240005493,0.7838268876075745,0.5814168453216553,0.46599262952804565,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
2,0.508274257183075,0.49172574281692505,0.8834057450294495,0.5324357151985168,0.7812942266464233,0.5788977742195129,0.4678521752357483,0.5324536561965942,0.46859604120254517,0.8834057450294495,0.5324357151985168,0.7812942266464233,0.5788977742195129,0.46859604120254517,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
3,0.5072813034057617,0.4927186965942383,0.8826513290405273,0.5297204852104187,0.7787454724311829,0.5783832669258118,0.47071021795272827,0.5298596620559692,0.4712105393409729,0.8826513290405273,0.5297204852104187,0.7787454724311829,0.5783832669258118,0.4712105393409729,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
4,0.5062974691390991,0.4937025308609009,0.8819010257720947,0.5269991159439087,0.7761749625205994,0.5771647095680237,0.4735780954360962,0.5272617340087891,0.4738394021987915,0.8819010257720947,0.5269991159439087,0.7761749625205994,0.5771647095680237,0.4738394021987915,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
5,0.5053192973136902,0.4946807026863098,0.8811538815498352,0.5242668390274048,0.7735782861709595,0.5760836601257324,0.47646182775497437,0.5246554613113403,0.4764862656593323,0.8811538815498352,0.5242668390274048,0.7735782861709595,0.5760836601257324,0.4764862656593323,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
6,0.5043478012084961,0.4956521987915039,0.8804091811180115,0.5215198397636414,0.7709515690803528,0.573062539100647,0.47936683893203735,0.5220376253128052,0.4791555404663086,0.8804091811180115,0.5215198397636414,0.7709515690803528,0.573062539100647,0.4791555404663086,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
7,0.5033737421035767,0.49662625789642334,0.8796659111976624,0.5187535285949707,0.7682908177375793,0.5724242925643921,0.48229914903640747,0.5194056034088135,0.48185259103775024,0.8796659111976624,0.5187535285949707,0.7682908177375793,0.5724242925643921,0.48185259103775024,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
8,0.502397358417511,0.497602641582489,0.878923237323761,0.515963613986969,0.7655912041664124,0.5723086595535278,0.48526471853256226,0.5167562961578369,0.48458242416381836,0.878923237323761,0.515963613986969,0.7655912041664124,0.5723086595535278,0.48458242416381836,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
9,0.501419723033905,0.49858027696609497,0.8781805038452148,0.5131459832191467,0.7628485560417175,0.5708409547805786,0.4882690906524658,0.5140872001647949,0.4873496890068054,0.8781805038452148,0.5131459832191467,0.7628485560417175,0.5708409547805786,0.4873496890068054,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
10,0.5004383325576782,0.4995616674423218,0.8774371147155762,0.5102971792221069,0.7600588202476501,0.5685968399047852,0.49131667613983154,0.5113964080810547,0.4901579022407532,0.8774371147155762,0.5102971792221069,0.7600588202476501,0.5685968399047852,0.4901579022407532,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
11,0.49945056438446045,0.5005494356155396,0.8766928315162659,0.5074149370193481,0.7572193741798401,0.5662922859191895,0.4944111704826355,0.5086830854415894,0.4930100440979004,0.8766928315162659,0.5074149370193481,0.7572193741798401,0.5662922859191895,0.4930100440979004,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
12,0.49845314025878906,0.5015468597412109,0.8759477138519287,0.5044977068901062,0.7543277740478516,0.5652818083763123,0.49755531549453735,0.5059468746185303,0.49590837955474854,0.8759477138519287,0.5044977068901062,0.7543277740478516,0.5652818083763123,0.49590837955474854,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
13,0.4974479079246521,0.5025520920753479,0.875201940536499,0.5015444755554199,0.7513824701309204,0.5637938976287842,0.5007515549659729,0.5031883716583252,0.49885475635528564,0.875201940536499,0.5015444755554199,0.7513824701309204,0.5637938976287842,0.49885475635528564,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
