epoch,loss,sat_train_overall,sat_train_trans,sat_train_irreflex,sat_train_asymmetry,sat_train_closure,sat_train_pos,sat_train_neg,sat_test_overall,sat_test_trans,sat_test_irreflex,sat_test_asymmetry,sat_test_closure,sat_test_pos,sat_test_neg,n_pos,n_neg,n_test_pos,n_test_neg,scenario,katz_mode,predicate,embed_type,hierarchy_source,bundle_tag,vector_dim,model_path
0,0.5204901099205017,0.4795098900794983,0.8927769660949707,0.5648326873779297,0.8103395104408264,0.6006354093551636,0.4338889718055725,0.5650317668914795,0.4371885061264038,0.8927769660949707,0.5648326873779297,0.8103395104408264,0.6006354093551636,0.4371885061264038,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
1,0.5184073448181152,0.48159265518188477,0.8922611474990845,0.563119649887085,0.8088492155075073,0.5985434055328369,0.43740367889404297,0.5640287399291992,0.44000422954559326,0.8922611474990845,0.563119649887085,0.8088492155075073,0.5985434055328369,0.44000422954559326,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
2,0.5163280367851257,0.48367196321487427,0.8917474150657654,0.5614045858383179,0.8073517680168152,0.5972102880477905,0.4409221410751343,0.5630265474319458,0.4428325295448303,0.8917474150657654,0.5614045858383179,0.8073517680168152,0.5972102880477905,0.4428325295448303,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
3,0.5142419338226318,0.48575806617736816,0.8912349939346313,0.5596842169761658,0.805844247341156,0.5968236923217773,0.4444579482078552,0.5620280504226685,0.4457018971443176,0.8912349939346313,0.5596842169761658,0.805844247341156,0.5968236923217773,0.4457018971443176,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
4,0.5121414065361023,0.4878585934638977,0.8907168507575989,0.5579347610473633,0.8043056130409241,0.5950427651405334,0.44803619384765625,0.5610145330429077,0.44862955808639526,0.8907168507575989,0.5579347610473633,0.8043056130409241,0.5950427651405334,0.44862955808639526,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
5,0.5100129842758179,0.48998701572418213,0.8901910781860352,0.5561492443084717,0.8027293682098389,0.5945392847061157,0.4516727924346924,0.5599840879440308,0.4516192078590393,0.8901910781860352,0.5561492443084717,0.8027293682098389,0.5945392847061157,0.4516192078590393,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
6,0.5078514814376831,0.4921485185623169,0.8896596431732178,0.5543332695960999,0.801120400428772,0.5931560397148132,0.45537543296813965,0.5589481592178345,0.45466840267181396,0.8896596431732178,0.5543332695960999,0.801120400428772,0.5931560397148132,0.45466840267181396,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
7,0.5056475400924683,0.49435245990753174,0.8891251683235168,0.5524946451187134,0.7994857430458069,0.5916672348976135,0.45914989709854126,0.5579214692115784,0.45777589082717896,0.8891251683235168,0.5524946451187134,0.7994857430458069,0.5916672348976135,0.45777589082717896,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
8,0.503391683101654,0.49660831689834595,0.8885896801948547,0.5506390333175659,0.7978304028511047,0.5906273722648621,0.4630035161972046,0.5569173693656921,0.46094411611557007,0.8885896801948547,0.5506390333175659,0.7978304028511047,0.5906273722648621,0.46094411611557007,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
9,0.5010749101638794,0.4989250898361206,0.8880541920661926,0.5487688183784485,0.7961565852165222,0.58991539478302,0.4669454097747803,0.5559459924697876,0.46417921781539917,0.8880541920661926,0.5487688183784485,0.7961565852165222,0.58991539478302,0.46417921781539917,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim25__gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim25/gensim_model_batch_size_10_burn_in_50_epochs_100_neg_15_dim_25.model
