epoch,split,label,hypo,hyper,katz,sat
199,train_pos,1,supermarket,commercial building,0.0,0.9965914487838745
199,train_pos,1,hand tool,tool,0.0,0.9833592176437378
199,train_pos,1,peach,fruit,0.0,0.9976938366889954
199,train_pos,1,pike,fish,0.0,0.9979536533355713
199,train_pos,1,nail gun,power tool,0.0,0.9980418682098389
199,train_pos,1,workshop,industrial building,0.0,0.9925398230552673
199,train_pos,1,noodles,grain product,0.0,0.992729127407074
199,train_pos,1,tortilla,grain product,0.0,0.9978529214859009
199,train_pos,1,store,commercial building,0.0,0.9954948425292969
199,train_pos,1,flowering plant,plant,0.0,0.986383855342865
199,train_pos,1,fish,animal,0.0,0.9864040613174438
199,train_pos,1,glider,aircraft,0.0,0.9958041310310364
199,train_pos,1,aircraft,vehicle,0.0,0.9841334819793701
199,train_pos,1,meat,food,0.0,0.9874513745307922
199,train_pos,1,clothing,physical object,0.0,0.975430428981781
199,train_pos,1,ferry,watercraft,0.0,0.9955333471298218
199,train_pos,1,plant,physical object,0.0,0.9801648855209351
199,train_pos,1,oak,tree,0.0,0.9978078007698059
199,train_pos,1,saw,hand tool,0.0,0.998989999294281
199,train_pos,1,scarf,accessory,0.0,0.9940034747123718
199,train_pos,1,salmon,fish,0.0,0.9934067726135254
199,train_pos,1,bacon,meat,0.0,0.998618483543396
199,train_pos,1,viola,string instrument,0.0,0.9978048205375671
199,train_pos,1,road vehicle,vehicle,0.0,0.9824020266532898
199,train_pos,1,mosquito,insect,0.0,0.9918553829193115
199,train_pos,1,trousers,lower body clothing,0.0,0.9954162836074829
199,train_pos,1,moth,insect,0.0,0.9946598410606384
199,train_pos,1,airplane,aircraft,0.0,0.998925507068634
199,train_pos,1,bat,mammal,0.0,0.9985632300376892
199,train_pos,1,synagogue,religious building,0.0,0.9982317090034485
199,train_pos,1,power plant,industrial building,0.0,0.9959379434585571
199,train_pos,1,cereal,grain product,0.0,0.9928328990936279
199,train_pos,1,lecture hall,educational building,0.0,0.996677041053772
199,train_pos,1,bassoon,woodwind,0.0,0.9977681636810303
199,train_pos,1,sailboat,watercraft,0.0,0.9955659508705139
199,train_pos,1,cap,headwear,0.0,0.9935316443443298
199,train_pos,1,cat,mammal,0.0,0.9939423203468323
199,train_pos,1,bus,road vehicle,0.0,0.9988160133361816
