epoch,loss,sat_train_overall,sat_train_trans,sat_train_irreflex,sat_train_asymmetry,sat_train_closure,sat_train_pos,sat_train_neg,sat_test_overall,sat_test_trans,sat_test_irreflex,sat_test_asymmetry,sat_test_closure,sat_test_pos,sat_test_neg,n_pos,n_neg,n_test_pos,n_test_neg,scenario,katz_mode,predicate,embed_type,hierarchy_source,bundle_tag,vector_dim,model_path
0,0.5137165188789368,0.48628348112106323,0.8885923027992249,0.550708532333374,0.7979552745819092,0.5908485651016235,0.45013493299484253,0.551615834236145,0.45539551973342896,0.8885923027992249,0.550708532333374,0.7979552745819092,0.5908485651016235,0.45539551973342896,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
1,0.5113191604614258,0.4886808395385742,0.8880287408828735,0.5487774014472961,0.7962144613265991,0.5904417634010315,0.4542332887649536,0.5505315065383911,0.4585062861442566,0.8880287408828735,0.5487774014472961,0.7962144613265991,0.5904417634010315,0.4585062861442566,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
2,0.5089257955551147,0.49107420444488525,0.8874618411064148,0.5468226671218872,0.7944440841674805,0.5891029238700867,0.45835405588150024,0.5494247674942017,0.4616350531578064,0.8874618411064148,0.5468226671218872,0.7944440841674805,0.5891029238700867,0.4616350531578064,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
3,0.5065251588821411,0.4934748411178589,0.8869006037712097,0.5448751449584961,0.7926719188690186,0.5883818864822388,0.4624924063682556,0.5483343601226807,0.4647901654243469,0.8869006037712097,0.5448751449584961,0.7926719188690186,0.5883818864822388,0.4647901654243469,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
4,0.5041035413742065,0.49589645862579346,0.8863483667373657,0.5429455637931824,0.7909079194068909,0.5869396328926086,0.46666115522384644,0.5472822189331055,0.4679766297340393,0.8863483667373657,0.5429455637931824,0.7909079194068909,0.5869396328926086,0.4679766297340393,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
5,0.5016431212425232,0.4983568787574768,0.8858062028884888,0.5410372018814087,0.7891554832458496,0.5848996639251709,0.47087985277175903,0.5462832450866699,0.4712035059928894,0.8858062028884888,0.5410372018814087,0.7891554832458496,0.5848996639251709,0.4712035059928894,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
6,0.4991248846054077,0.5008751153945923,0.8852729201316833,0.5391449332237244,0.787410318851471,0.5846887230873108,0.4751700758934021,0.5453407764434814,0.4744795560836792,0.8852729201316833,0.5391449332237244,0.787410318851471,0.5846887230873108,0.4744795560836792,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
7,0.49654150009155273,0.5034584999084473,0.8847474455833435,0.5372642278671265,0.7856684327125549,0.5828969478607178,0.47955000400543213,0.5444573163986206,0.47781282663345337,0.8847474455833435,0.5372642278671265,0.7856684327125549,0.5828969478607178,0.47781282663345337,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
8,0.4938817024230957,0.5061182975769043,0.8842297196388245,0.5353937149047852,0.7839289903640747,0.5798223614692688,0.4840335249900818,0.5436388850212097,0.48121190071105957,0.8842297196388245,0.5353937149047852,0.7839289903640747,0.5798223614692688,0.48121190071105957,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
9,0.4911261796951294,0.5088738203048706,0.8837200999259949,0.5335327982902527,0.7821927070617676,0.58209228515625,0.4886305332183838,0.5428934693336487,0.48468607664108276,0.8837200999259949,0.5335327982902527,0.7821927070617676,0.58209228515625,0.48468607664108276,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
10,0.48828399181365967,0.5117160081863403,0.8832188248634338,0.5316802263259888,0.7804592847824097,0.5800344347953796,0.49334782361984253,0.5422284603118896,0.48824453353881836,0.8832188248634338,0.5316802263259888,0.7804592847824097,0.5800344347953796,0.48824453353881836,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
11,0.4853397607803345,0.5146602392196655,0.8827258944511414,0.5298342108726501,0.778727650642395,0.5787519812583923,0.49819326400756836,0.5416504144668579,0.49189621210098267,0.8827258944511414,0.5298342108726501,0.778727650642395,0.5787519812583923,0.49189621210098267,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
12,0.4822899103164673,0.5177100896835327,0.8822412490844727,0.5279936790466309,0.776996374130249,0.5769753456115723,0.5031734108924866,0.5411651134490967,0.4956490397453308,0.8822412490844727,0.5279936790466309,0.776996374130249,0.5769753456115723,0.4956490397453308,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
13,0.4791232943534851,0.5208767056465149,0.8817648887634277,0.5261567831039429,0.7752640247344971,0.5773342251777649,0.5082961320877075,0.5407791137695312,0.4995099902153015,0.8817648887634277,0.5261567831039429,0.7752640247344971,0.5773342251777649,0.4995099902153015,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
14,0.4758373498916626,0.5241626501083374,0.8812970519065857,0.5243216156959534,0.7735297083854675,0.57703697681427,0.5135696530342102,0.5404990911483765,0.5034857988357544,0.8812970519065857,0.5243216156959534,0.7735297083854675,0.57703697681427,0.5034857988357544,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
15,0.472429096698761,0.527570903301239,0.88083815574646,0.5224875807762146,0.7717931866645813,0.5736456513404846,0.5190017223358154,0.5403327941894531,0.5075820684432983,0.88083815574646,0.5224875807762146,0.7717931866645813,0.5736456513404846,0.5075820684432983,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
16,0.4688788056373596,0.5311211943626404,0.8803890347480774,0.5206551551818848,0.770054817199707,0.5744014382362366,0.5246000289916992,0.5402892827987671,0.5118032097816467,0.8803890347480774,0.5206551551818848,0.770054817199707,0.5744014382362366,0.5118032097816467,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
17,0.46519148349761963,0.5348085165023804,0.8799505233764648,0.518825352191925,0.768315851688385,0.5719286203384399,0.5303717851638794,0.5403788089752197,0.5161532759666443,0.8799505233764648,0.518825352191925,0.768315851688385,0.5719286203384399,0.5161532759666443,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
18,0.4613521099090576,0.5386478900909424,0.8795240521430969,0.5169999003410339,0.7665781378746033,0.5707091689109802,0.5363232493400574,0.5406125783920288,0.520635724067688,0.8795240521430969,0.5169999003410339,0.7665781378746033,0.5707091689109802,0.520635724067688,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
19,0.45735520124435425,0.5426447987556458,0.8791110515594482,0.5151807069778442,0.7648441195487976,0.5697803497314453,0.5424597859382629,0.541002631187439,0.5252525210380554,0.8791110515594482,0.5151807069778442,0.7648441195487976,0.5697803497314453,0.5252525210380554,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
20,0.4531930685043335,0.5468069314956665,0.878713071346283,0.5133707523345947,0.7631170153617859,0.5696969032287598,0.5487853288650513,0.5415620803833008,0.5300044417381287,0.878713071346283,0.5133707523345947,0.7631170153617859,0.5696969032287598,0.5300044417381287,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
21,0.44886159896850586,0.5511384010314941,0.878332257270813,0.5115740895271301,0.7614007592201233,0.5696128606796265,0.5553017258644104,0.5423053503036499,0.5348910093307495,0.878332257270813,0.5115740895271301,0.7614007592201233,0.5696128606796265,0.5348910093307495,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
22,0.4443618059158325,0.5556381940841675,0.877970814704895,0.5097958445549011,0.759700357913971,0.5660921335220337,0.5620086193084717,0.5432482957839966,0.539909839630127,0.877970814704895,0.5097958445549011,0.759700357913971,0.5660921335220337,0.539909839630127,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
23,0.43966567516326904,0.560334324836731,0.8776311874389648,0.5080428719520569,0.758022129535675,0.5716956257820129,0.5689045190811157,0.5444080233573914,0.5450574159622192,0.8776311874389648,0.5080428719520569,0.758022129535675,0.5716956257820129,0.5450574159622192,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
24,0.434808611869812,0.565191388130188,0.877316415309906,0.5063230395317078,0.7563731074333191,0.5646271705627441,0.5759866833686829,0.5458031892776489,0.5503283739089966,0.877316415309906,0.5063230395317078,0.7563731074333191,0.5646271705627441,0.5503283739089966,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
25,0.42975687980651855,0.5702431201934814,0.8770293593406677,0.5046458840370178,0.7547613978385925,0.5606526732444763,0.5832506418228149,0.5474532842636108,0.5557156801223755,0.8770293593406677,0.5046458840370178,0.7547613978385925,0.5606526732444763,0.5557156801223755,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,Dim50__poincare_wn_nouns_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/embeddings_WN/Dim50/poincare_wn_nouns_50.model
