epoch,loss,sat_train_overall,sat_train_trans,sat_train_irreflex,sat_train_asymmetry,sat_train_closure,sat_train_pos,sat_train_neg,sat_test_overall,sat_test_trans,sat_test_irreflex,sat_test_asymmetry,sat_test_closure,sat_test_pos,sat_test_neg,n_pos,n_neg,n_test_pos,n_test_neg,scenario,katz_mode,predicate,embed_type,hierarchy_source,bundle_tag,vector_dim,model_path
0,0.5096091032028198,0.4903908967971802,0.89222252368927,0.563362181186676,0.8085890412330627,0.5975426435470581,0.4466145634651184,0.5722634792327881,0.4369431734085083,0.89222252368927,0.563362181186676,0.8085890412330627,0.5975426435470581,0.4369431734085083,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_nonhyper_25__default_nonhyper_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model
1,0.5056584477424622,0.49434155225753784,0.8913383483886719,0.5604691505432129,0.8059027791023254,0.5974921584129333,0.4524524211883545,0.5722137689590454,0.43944424390792847,0.8913383483886719,0.5604691505432129,0.8059027791023254,0.5974921584129333,0.43944424390792847,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_nonhyper_25__default_nonhyper_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model
2,0.5016968846321106,0.4983031153678894,0.890468955039978,0.5575966238975525,0.803198516368866,0.5954609513282776,0.45830297470092773,0.5722185373306274,0.4419219493865967,0.890468955039978,0.5575966238975525,0.803198516368866,0.5954609513282776,0.4419219493865967,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_nonhyper_25__default_nonhyper_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model
3,0.4977067708969116,0.5022932291030884,0.8896005749702454,0.55470210313797,0.8004347085952759,0.5960218906402588,0.4641895294189453,0.5722615718841553,0.444369375705719,0.8896005749702454,0.55470210313797,0.8004347085952759,0.5960218906402588,0.444369375705719,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_nonhyper_25__default_nonhyper_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model
4,0.49369168281555176,0.5063083171844482,0.8887335062026978,0.5517886877059937,0.7976076602935791,0.5894090533256531,0.470115602016449,0.572372555732727,0.4467819333076477,0.8887335062026978,0.5517886877059937,0.7976076602935791,0.5894090533256531,0.4467819333076477,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_nonhyper_25__default_nonhyper_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model
5,0.4896204471588135,0.5103795528411865,0.8878668546676636,0.548856258392334,0.7947105765342712,0.5855681300163269,0.476093053817749,0.5725764036178589,0.44916045665740967,0.8878668546676636,0.548856258392334,0.7947105765342712,0.5855681300163269,0.44916045665740967,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_nonhyper_25__default_nonhyper_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model
6,0.485465407371521,0.514534592628479,0.886999249458313,0.5459027290344238,0.7917335629463196,0.5904315114021301,0.4821389317512512,0.5728933811187744,0.4515102505683899,0.886999249458313,0.5459027290344238,0.7917335629463196,0.5904315114021301,0.4515102505683899,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_nonhyper_25__default_nonhyper_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model
7,0.48123306035995483,0.5187669396400452,0.8861286640167236,0.5429225564002991,0.7886638641357422,0.5884186625480652,0.48827385902404785,0.5733374357223511,0.4538436532020569,0.8861286640167236,0.5429225564002991,0.7886638641357422,0.5884186625480652,0.4538436532020569,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_nonhyper_25__default_nonhyper_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model
8,0.47690820693969727,0.5230917930603027,0.885251522064209,0.5399046540260315,0.7854841351509094,0.5797407627105713,0.49451911449432373,0.5739117860794067,0.4561750888824463,0.885251522064209,0.5399046540260315,0.7854841351509094,0.5797407627105713,0.4561750888824463,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_nonhyper_25__default_nonhyper_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model
9,0.4724388122558594,0.5275611877441406,0.8843643069267273,0.5368359684944153,0.7821748852729797,0.5883182883262634,0.5008947849273682,0.5746141076087952,0.4585164189338684,0.8843643069267273,0.5368359684944153,0.7821748852729797,0.5883182883262634,0.4585164189338684,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_nonhyper_25__default_nonhyper_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model
