epoch,loss,sat_train_overall,sat_train_trans,sat_train_irreflex,sat_train_asymmetry,sat_train_closure,sat_train_pos,sat_train_neg,sat_test_overall,sat_test_trans,sat_test_irreflex,sat_test_asymmetry,sat_test_closure,sat_test_pos,sat_test_neg,n_pos,n_neg,n_test_pos,n_test_neg,scenario,katz_mode,predicate,embed_type,hierarchy_source,bundle_tag,vector_dim,model_path
0,0.5122570395469666,0.48774296045303345,0.8767642378807068,0.5063795447349548,0.7571964859962463,0.5668061971664429,0.47946804761886597,0.49947476387023926,0.5030613541603088,0.8767642378807068,0.5063795447349548,0.7571964859962463,0.5668061971664429,0.5030613541603088,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_nonhyper_50__default_nonhyper_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model
1,0.5069143176078796,0.49308568239212036,0.8754794597625732,0.501532793045044,0.7523139119148254,0.5632085204124451,0.48828738927841187,0.498795747756958,0.5062037706375122,0.8754794597625732,0.501532793045044,0.7523139119148254,0.5632085204124451,0.5062037706375122,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_nonhyper_50__default_nonhyper_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model
2,0.5015627145767212,0.4984372854232788,0.8742007613182068,0.4965747594833374,0.7472363710403442,0.5606330037117004,0.49718278646469116,0.49811846017837524,0.5093424320220947,0.8742007613182068,0.4965747594833374,0.7472363710403442,0.5606330037117004,0.5093424320220947,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_nonhyper_50__default_nonhyper_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model
3,0.496207594871521,0.503792405128479,0.8729254603385925,0.4914889931678772,0.7419351935386658,0.5572919249534607,0.5061569213867188,0.4974384307861328,0.5125144124031067,0.8729254603385925,0.4914889931678772,0.7419351935386658,0.5572919249534607,0.5125144124031067,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_nonhyper_50__default_nonhyper_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model
4,0.49084895849227905,0.509151041507721,0.8716490864753723,0.48624885082244873,0.7363722324371338,0.5571913719177246,0.5152192115783691,0.4967294931411743,0.5157182216644287,0.8716490864753723,0.48624885082244873,0.7363722324371338,0.5571913719177246,0.5157182216644287,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_nonhyper_50__default_nonhyper_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model
5,0.4855004549026489,0.5144995450973511,0.8703752160072327,0.4808626174926758,0.7305422425270081,0.5535427927970886,0.5243704319000244,0.4959927797317505,0.5189453363418579,0.8703752160072327,0.4808626174926758,0.7305422425270081,0.5535427927970886,0.5189453363418579,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_nonhyper_50__default_nonhyper_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model
6,0.4801642894744873,0.5198357105255127,0.8691094517707825,0.4753532409667969,0.724449872970581,0.5498129725456238,0.5335990786552429,0.4952343702316284,0.5221884250640869,0.8691094517707825,0.4753532409667969,0.724449872970581,0.5498129725456238,0.5221884250640869,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_nonhyper_50__default_nonhyper_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model
7,0.4748404026031494,0.5251595973968506,0.8678567409515381,0.46974194049835205,0.718097984790802,0.5498613715171814,0.5428951382637024,0.49446070194244385,0.5254437923431396,0.8678567409515381,0.46974194049835205,0.718097984790802,0.5498613715171814,0.5254437923431396,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_nonhyper_50__default_nonhyper_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model
8,0.469545841217041,0.530454158782959,0.8666203022003174,0.4640408754348755,0.7114828824996948,0.5440730452537537,0.5522599816322327,0.49367815256118774,0.5287109613418579,0.8666203022003174,0.4640408754348755,0.7114828824996948,0.5440730452537537,0.5287109613418579,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_nonhyper_50__default_nonhyper_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model
9,0.46425700187683105,0.535742998123169,0.8654024600982666,0.4582575559616089,0.7045959234237671,0.5432420372962952,0.5617013573646545,0.49289411306381226,0.5319915413856506,0.8654024600982666,0.4582575559616089,0.7045959234237671,0.5432420372962952,0.5319915413856506,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_nonhyper_50__default_nonhyper_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model
10,0.4589765667915344,0.5410234332084656,0.8642053604125977,0.4523966312408447,0.6974259614944458,0.5426684617996216,0.5712288618087769,0.4921169877052307,0.5352859497070312,0.8642053604125977,0.4523966312408447,0.6974259614944458,0.5426684617996216,0.5352859497070312,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_nonhyper_50__default_nonhyper_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model
11,0.4537124037742615,0.5462875962257385,0.8630310297012329,0.4464622139930725,0.689961850643158,0.5348305702209473,0.5808538198471069,0.4913563132286072,0.5385910868644714,0.8630310297012329,0.4464622139930725,0.689961850643158,0.5348305702209473,0.5385910868644714,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_nonhyper_50__default_nonhyper_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model
12,0.4484208822250366,0.5515791177749634,0.861882209777832,0.44045859575271606,0.6821949481964111,0.5397008657455444,0.5905845761299133,0.49062269926071167,0.5419008731842041,0.861882209777832,0.44045859575271606,0.6821949481964111,0.5397008657455444,0.5419008731842041,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_nonhyper_50__default_nonhyper_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model
13,0.44313323497772217,0.5568667650222778,0.8607617020606995,0.43439286947250366,0.6741201877593994,0.5396497249603271,0.6004247665405273,0.4899279475212097,0.5452064871788025,0.8607617020606995,0.43439286947250366,0.6741201877593994,0.5396497249603271,0.5452064871788025,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_nonhyper_50__default_nonhyper_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model
