epoch,loss,sat_train_overall,sat_train_trans,sat_train_irreflex,sat_train_asymmetry,sat_train_closure,sat_train_pos,sat_train_neg,sat_test_overall,sat_test_trans,sat_test_irreflex,sat_test_asymmetry,sat_test_closure,sat_test_pos,sat_test_neg,n_pos,n_neg,n_test_pos,n_test_neg,scenario,katz_mode,predicate,embed_type,hierarchy_source,bundle_tag,vector_dim,model_path
0,0.511207103729248,0.48879289627075195,0.8857318162918091,0.54063481092453,0.788901686668396,0.5853846669197083,0.45932966470718384,0.5404849648475647,0.4605281949043274,0.8857318162918091,0.54063481092453,0.788901686668396,0.5853846669197083,0.4605281949043274,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
1,0.5104644298553467,0.4895355701446533,0.8852325677871704,0.538879930973053,0.7872897386550903,0.5830238461494446,0.46122872829437256,0.5389382839202881,0.46238452196121216,0.8852325677871704,0.538879930973053,0.7872897386550903,0.5830238461494446,0.46238452196121216,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
2,0.509721577167511,0.490278422832489,0.8847360610961914,0.5371257662773132,0.7856718897819519,0.5823434591293335,0.4631311893463135,0.5373926758766174,0.4642435312271118,0.8847360610961914,0.5371257662773132,0.7856718897819519,0.5823434591293335,0.4642435312271118,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
3,0.5089796781539917,0.4910203218460083,0.8842423558235168,0.5353728532791138,0.7840484380722046,0.5812957286834717,0.4650386571884155,0.5358515977859497,0.46610695123672485,0.8842423558235168,0.5353728532791138,0.7840484380722046,0.5812957286834717,0.46610695123672485,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
4,0.508235514163971,0.49176448583602905,0.8837515711784363,0.5336213111877441,0.7824198007583618,0.5808300375938416,0.4669526219367981,0.534317135810852,0.46797704696655273,0.8837515711784363,0.5336213111877441,0.7824198007583618,0.5808300375938416,0.46797704696655273,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
5,0.5074895620346069,0.49251043796539307,0.8832635283470154,0.5318705439567566,0.7807852625846863,0.5795325636863708,0.4688754677772522,0.532789945602417,0.4698563814163208,0.8832635283470154,0.5318705439567566,0.7807852625846863,0.5795325636863708,0.4698563814163208,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
6,0.5067394375801086,0.49326056241989136,0.8827779293060303,0.5301194190979004,0.7791436910629272,0.5777221918106079,0.4708099365234375,0.5312701463699341,0.4717472195625305,0.8827779293060303,0.5301194190979004,0.7791436910629272,0.5777221918106079,0.4717472195625305,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
7,0.5059791207313538,0.49402087926864624,0.8822945952415466,0.5283671021461487,0.7774943709373474,0.5780489444732666,0.4727587103843689,0.5297584533691406,0.4736517667770386,0.8822945952415466,0.5283671021461487,0.7774943709373474,0.5780489444732666,0.4736517667770386,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
8,0.5052143335342407,0.4947856664657593,0.8818134069442749,0.5266128778457642,0.7758364677429199,0.5755718946456909,0.4747242331504822,0.5282560586929321,0.4755719304084778,0.8818134069442749,0.5266128778457642,0.7758364677429199,0.5755718946456909,0.4755719304084778,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
9,0.5044355392456055,0.49556446075439453,0.8813341856002808,0.5248560309410095,0.7741690874099731,0.5751811861991882,0.4767090678215027,0.5267640352249146,0.47750991582870483,0.8813341856002808,0.5248560309410095,0.7741690874099731,0.5751811861991882,0.47750991582870483,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
10,0.503641664981842,0.49635833501815796,0.8808566927909851,0.5230955481529236,0.7724912762641907,0.5763352513313293,0.47871559858322144,0.5252832174301147,0.4794674515724182,0.8808566927909851,0.5230955481529236,0.7724912762641907,0.5763352513313293,0.4794674515724182,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
11,0.5028388500213623,0.4971611499786377,0.8803807497024536,0.5213305354118347,0.7708020210266113,0.574042797088623,0.4807460308074951,0.523814857006073,0.48144644498825073,0.8803807497024536,0.5213305354118347,0.7708020210266113,0.574042797088623,0.48144644498825073,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
12,0.5020196437835693,0.49798035621643066,0.879906177520752,0.5195601582527161,0.7691007256507874,0.5719637274742126,0.4828026294708252,0.5223598480224609,0.4834486246109009,0.879906177520752,0.5195601582527161,0.7691007256507874,0.5719637274742126,0.4834486246109009,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
13,0.5011786818504333,0.49882131814956665,0.8794329166412354,0.5177837610244751,0.7673865556716919,0.5723522305488586,0.4848875403404236,0.5209193229675293,0.48547571897506714,0.8794329166412354,0.5177837610244751,0.7673865556716919,0.5723522305488586,0.48547571897506714,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
14,0.5003176927566528,0.49968230724334717,0.878960907459259,0.5160006284713745,0.7656586766242981,0.5729381442070007,0.4870030879974365,0.5194947123527527,0.4875296950340271,0.878960907459259,0.5160006284713745,0.7656586766242981,0.5729381442070007,0.4875296950340271,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
15,0.4994390606880188,0.5005609393119812,0.8784900307655334,0.5142101645469666,0.7639163732528687,0.5709936618804932,0.48915189504623413,0.5180875062942505,0.4896128177642822,0.8784900307655334,0.5142101645469666,0.7639163732528687,0.5709936618804932,0.4896128177642822,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
