epoch,loss,sat_train_overall,sat_train_trans,sat_train_irreflex,sat_train_asymmetry,sat_train_closure,sat_train_pos,sat_train_neg,sat_test_overall,sat_test_trans,sat_test_irreflex,sat_test_asymmetry,sat_test_closure,sat_test_pos,sat_test_neg,n_pos,n_neg,n_test_pos,n_test_neg,scenario,katz_mode,predicate,embed_type,hierarchy_source,bundle_tag,vector_dim,model_path
0,0.5110543370246887,0.4889456629753113,0.8879616856575012,0.5484445095062256,0.7960066795349121,0.5899612307548523,0.45466846227645874,0.5504528284072876,0.45599502325057983,0.8879616856575012,0.5484445095062256,0.7960066795349121,0.5899612307548523,0.45599502325057983,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
1,0.5087726712226868,0.49122732877731323,0.8875267505645752,0.5469295978546143,0.7946463823318481,0.5892624258995056,0.45849066972732544,0.5496143102645874,0.4591854214668274,0.8875267505645752,0.5469295978546143,0.7946463823318481,0.5892624258995056,0.4591854214668274,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
2,0.5064670443534851,0.4935329556465149,0.8870949745178223,0.545417845249176,0.7932824492454529,0.5877562761306763,0.4623544216156006,0.5487940311431885,0.462396502494812,0.8870949745178223,0.545417845249176,0.7932824492454529,0.5877562761306763,0.462396502494812,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
3,0.5041291117668152,0.4958708882331848,0.8866696357727051,0.5439193844795227,0.7919244766235352,0.5873390436172485,0.4662588834762573,0.5480103492736816,0.4656227231025696,0.8866696357727051,0.5439193844795227,0.7919244766235352,0.5873390436172485,0.4656227231025696,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
4,0.5017557740211487,0.4982442259788513,0.8862555623054504,0.5424500703811646,0.7905875444412231,0.5862266421318054,0.470201313495636,0.5472874641418457,0.46886080503463745,0.8862555623054504,0.5424500703811646,0.7905875444412231,0.5862266421318054,0.46886080503463745,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
5,0.4993358850479126,0.5006641149520874,0.8858579397201538,0.5410270690917969,0.7892884016036987,0.5849758386611938,0.4741828441619873,0.5466533899307251,0.4721158742904663,0.8858579397201538,0.5410270690917969,0.7892884016036987,0.5849758386611938,0.4721158742904663,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
6,0.4968529939651489,0.5031470060348511,0.8854803442955017,0.5396619439125061,0.7880384922027588,0.5850391387939453,0.47821319103240967,0.5461306571960449,0.4754030108451843,0.8854803442955017,0.5396619439125061,0.7880384922027588,0.5850391387939453,0.4754030108451843,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
7,0.49429768323898315,0.5057023167610168,0.8851233124732971,0.5383556485176086,0.786839485168457,0.5835639238357544,0.4823082685470581,0.5457288026809692,0.47873950004577637,0.8851233124732971,0.5383556485176086,0.786839485168457,0.5835639238357544,0.47873950004577637,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
8,0.4916567802429199,0.5083432197570801,0.8847861289978027,0.537104070186615,0.7856891751289368,0.5819455981254578,0.4864833354949951,0.5454500913619995,0.48214054107666016,0.8847861289978027,0.537104070186615,0.7856891751289368,0.5819455981254578,0.48214054107666016,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
9,0.48891568183898926,0.5110843181610107,0.8844684958457947,0.535904049873352,0.7845861315727234,0.5837350487709045,0.49075019359588623,0.5452972650527954,0.48561954498291016,0.8844684958457947,0.535904049873352,0.7845861315727234,0.5837350487709045,0.48561954498291016,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
